robot_id,branching,branching_modules_count,limbs,extremities,length_of_limbs,extensiveness,coverage,joints,hinge_count,active_hinges_count,brick_count,touch_sensor_count,brick_sensor_count,proportion,width,height,absolute_size,sensors,symmetry,avg_period,dev_period,avg_phase_offset,dev_phase_offset,avg_amplitude,dev_amplitude,avg_intra_dev_params,avg_inter_dev_params,sensors_reach,recurrence,synaptic_reception
89,0,0,0.5,1,1.0,1,1.0,1.0,2,1,0,1,0,0.3333333333333333,3,1,3,0.3333333333333333,0,0.6066880211328793,0.7544863086725804,0.5769460441856638,0.9315756890206636,0.9011805886320872,0.6288952117673415,0.8947274277158842,0.8054070640033241,1.0,0.5,0.0
90,0,0,0.5,1,1.0,1,1.0,1.0,1,1,1,0,0,0.3333333333333333,3,1,3,0.0,0,0.2648357938368167,0.5,0.5152061799287935,0.5,0.15381834393286015,0.5,0.8192803909252278,0.5,0,0,0.0
91,0,0,0.3333333333333333,1,1.0,2,1.0,1.0,3,2,0,0,0,0.25,4,1,4,0.0,0,0.5099904898024901,0.5636994216984074,0.20949297524075453,0.5531298862422516,0.7262129888201165,0.964007392954471,0.8927201414344414,0.7777208008962532,0,0,0.0
92,0,0,0.3333333333333333,2,0.7142857142857143,5,0.5625,0.7142857142857143,7,5,1,1,0,0.25,2,8,9,0.25,0,0.27596942084407494,0.951507305307054,0.5582048878822439,0.753490195920818,0.8963526924820595,0.8832743038381068,0.8978178228324626,0.8848571322146057,1.0,0,0.0
93,0,0,0.75,3,0.25,1,0.6,0.25,2,1,3,3,0,0.4,2,5,6,0.3333333333333333,0.8,0.44661517012357965,0.959077598916785,0.5359207668149892,0.8692609560732227,0.5548380478132687,0.9779094962335146,0.9542075020252794,0.9500899643422565,0.5,0.5,0.286426753663486
94,0,0,0.14285714285714285,2,0.8947368421052632,17,0.2727272727272727,0.631578947368421,14,12,6,4,0,0.6363636363636364,7,11,21,0.2857142857142857,0,0.7323424624879655,0.7442280798543291,0.8529621357504334,0.7891407452561344,0.8796382744555494,0.8809549813481838,0.7499340136977907,0.8120073740620211,0.07142857142857142,0.07142857142857142,0.0
95,0,0,0.25,1,1.0,3,0.625,0.6666666666666666,3,2,1,3,0,0.5,2,4,5,0.6,0,0.3261018480520639,0.9327705466286809,0.47726884775815126,0.9595959937845817,0.46918621330701366,0.5951091457336701,0.7451710494046663,0.8870463320894276,0.3333333333333333,0.6666666666666666,0.0
96,0,0,0.1,1,1.0,13,0.5357142857142857,0.8461538461538461,12,11,2,0,0,0.14285714285714285,2,14,15,0.0,0,0.8416893785574724,0.923858287875832,0.524445290329021,0.6783626343323946,0.4976880038034979,0.934517232508881,0.9074175907726236,0.8772692397058373,0,0,0.0
97,0,0,0.3333333333333333,2,0.8333333333333334,5,0.4,0.6666666666666666,5,4,2,1,0,0.8,5,4,8,0.14285714285714285,0.5714285714285714,0.2465876494437123,0.9171419674005665,0.4341269091552328,0.899487165011301,0.4679573703174612,0.8420267769366282,0.9037162535926179,0.8898967029952592,1.0,0.2,0.0
98,0,0,0.3333333333333333,6,0.6,15,0.25,0.32,13,8,13,4,0,0.75,9,12,27,0.16,0.32,0.5959521889906282,0.8982127776004021,0.7794118408820854,0.9629257793624749,0.43882790581238923,0.8631132335470445,0.8967095097565333,0.9187380310279313,0.3076923076923077,0.3076923076923077,0.0
